
0	3.332	1.0000	0.03571
120	3.296	1.0000	0.03704
180	3.258	1.0000	0.03846
300	3.178	1.0000	0.04167
420	3.135	1.0000	0.04348
540	3.091	1.0000	0.04545
690	3.045	1.0000	0.04762
810	2.996	1.0000	0.05000
960	2.944	1.0000	0.05263
1110	2.89	1.0000	0.05556
1260	2.833	1.0000	0.05882
1500	2.773	1.0000	0.06250
1710	2.708	1.0000	0.06667
1890	2.639	1.0000	0.07143
2130	2.565	1.0000	0.07692
2400	2.485	1.0000	0.08333
2700	2.398	1.0000	0.09091
3000	2.303	1.0000	0.10000
3390	2.197	1.0000	0.111111111
3780	2.079	1.0000	0.12500
4320	1.946	1.0000	0.142857143
